pdbid,sample_size,preset,avg_abag_dockq,avg_ranking_confidence,avg_min_pmidockq,avg_TM_normalized_reference
8wcg,1,notsample1_seed0-9,0.865,0.865,0.865,0.865
8wcg,2,notsample1_seed0-9,0.875,0.8649999999999999,0.8636,0.8732
8wcg,3,notsample1_seed0-9,0.8782,0.8564,0.8574,0.8761999999999999
8wcg,4,notsample1_seed0-9,0.8810000000000002,0.8624000000000003,0.8537999999999998,0.8778
8wcg,5,notsample1_seed0-9,0.8796,0.86,0.8503999999999998,0.8733999999999998
8wcg,6,notsample1_seed0-9,0.8859999999999999,0.8611999999999999,0.853,0.8824
8wcg,7,notsample1_seed0-9,0.8856,0.8539999999999999,0.8488000000000001,0.8818
8wcg,8,notsample1_seed0-9,0.8852,0.8588,0.8485999999999998,0.8817999999999999
8wcg,9,notsample1_seed0-9,0.887,0.8518000000000001,0.8478,0.8838000000000001
8wcg,10,notsample1_seed0-9,0.8881999999999999,0.8593999999999999,0.8427999999999999,0.8846
8wcg,11,notsample1_seed0-9,0.8900000000000001,0.8553999999999999,0.839,0.8860000000000001
8wcg,12,notsample1_seed0-9,0.8892,0.8562000000000001,0.8419999999999999,0.884
8wcg,13,notsample1_seed0-9,0.8912,0.8503999999999999,0.8482,0.8872000000000001
8wcg,14,notsample1_seed0-9,0.8914,0.852,0.8429999999999999,0.8882000000000001
8wcg,15,notsample1_seed0-9,0.89,0.8528,0.839,0.8878
8wcg,16,notsample1_seed0-9,0.8932000000000001,0.8519999999999999,0.8438,0.8902
8wcg,17,notsample1_seed0-9,0.8924000000000001,0.8568000000000001,0.8423999999999999,0.8898000000000001
8wcg,18,notsample1_seed0-9,0.8916,0.8532,0.843,0.889
8wcg,19,notsample1_seed0-9,0.8930000000000001,0.852,0.8442000000000001,0.8896000000000001
8wcg,20,notsample1_seed0-9,0.8942,0.853,0.8423999999999998,0.8910000000000001
8wcg,21,notsample1_seed0-9,0.8931999999999999,0.853,0.8455999999999999,0.892
8wcg,22,notsample1_seed0-9,0.8937999999999999,0.8562000000000001,0.8445999999999998,0.8926000000000001
8wcg,23,notsample1_seed0-9,0.894,0.8530000000000001,0.8405999999999999,0.8924000000000001
8wcg,24,notsample1_seed0-9,0.8942,0.8545999999999998,0.8382,0.8934000000000001
8wcg,25,notsample1_seed0-9,0.8922000000000001,0.8536,0.8373999999999999,0.8906000000000001
8wcg,26,notsample1_seed0-9,0.8924,0.8525999999999999,0.8412,0.8900000000000001
8wcg,27,notsample1_seed0-9,0.894,0.8514000000000002,0.841,0.8919999999999999
8wcg,28,notsample1_seed0-9,0.8942,0.8498,0.8423999999999999,0.8928000000000001
8wcg,29,notsample1_seed0-9,0.8956000000000001,0.8508,0.8413999999999998,0.8939999999999999
8wcg,30,notsample1_seed0-9,0.8944,0.8541999999999998,0.838,0.8933999999999999
8wcg,31,notsample1_seed0-9,0.8944,0.8514,0.8467999999999999,0.8931999999999999
8wcg,32,notsample1_seed0-9,0.8944,0.8486,0.8385999999999999,0.893
8wcg,33,notsample1_seed0-9,0.8954,0.8524,0.8348,0.8941999999999999
8wcg,34,notsample1_seed0-9,0.8942,0.8532000000000002,0.8455999999999999,0.8922000000000001
8wcg,35,notsample1_seed0-9,0.8959999999999999,0.8503999999999999,0.8432,0.8954
8wcg,36,notsample1_seed0-9,0.8962,0.85,0.8358,0.8946
8wcg,37,notsample1_seed0-9,0.8954,0.8532,0.8367999999999999,0.8946000000000001
8wcg,38,notsample1_seed0-9,0.897,0.8491999999999998,0.8369999999999999,0.8964
8wcg,39,notsample1_seed0-9,0.8956000000000001,0.8526,0.8391999999999998,0.8944
8wcg,40,notsample1_seed0-9,0.8972000000000001,0.8508,0.8397999999999998,0.8968
8ysh,1,notsample1_seed0-9,0.93,0.93,0.93,0.93
8ysh,2,notsample1_seed0-9,0.9319999999999999,0.929,0.9316,0.9309999999999999
8ysh,3,notsample1_seed0-9,0.9351999999999998,0.9296,0.9343999999999998,0.9323999999999999
8ysh,4,notsample1_seed0-9,0.9346,0.9298000000000001,0.9331999999999999,0.9328
8ysh,5,notsample1_seed0-9,0.9341999999999999,0.9294,0.9328,0.9318
8ysh,6,notsample1_seed0-9,0.9355999999999999,0.93,0.9338,0.9331999999999999
8ysh,7,notsample1_seed0-9,0.9383999999999998,0.9294,0.9363999999999999,0.9359999999999998
8ysh,8,notsample1_seed0-9,0.9373999999999998,0.9294,0.935,0.9341999999999999
8ysh,9,notsample1_seed0-9,0.9375999999999998,0.9294000000000001,0.9343999999999998,0.9351999999999999
8ysh,10,notsample1_seed0-9,0.9385999999999999,0.9284,0.9353999999999998,0.9361999999999998
8ysh,11,notsample1_seed0-9,0.9391999999999997,0.9311999999999999,0.9369999999999997,0.9351999999999999
8ysh,12,notsample1_seed0-9,0.9393999999999997,0.9294,0.9369999999999997,0.9359999999999998
8ysh,13,notsample1_seed0-9,0.9395999999999998,0.9318000000000001,0.9371999999999998,0.9367999999999997
8ysh,14,notsample1_seed0-9,0.9391999999999997,0.929,0.9355999999999998,0.9357999999999999
8ysh,15,notsample1_seed0-9,0.9395999999999998,0.9313999999999999,0.9373999999999998,0.9359999999999998
8ysh,16,notsample1_seed0-9,0.9397999999999997,0.9296,0.9361999999999999,0.9371999999999997
8ysh,17,notsample1_seed0-9,0.9399999999999997,0.9294,0.9375999999999998,0.9357999999999999
8ysh,18,notsample1_seed0-9,0.9395999999999998,0.9319999999999999,0.9361999999999999,0.9371999999999998
8ysh,19,notsample1_seed0-9,0.9391999999999997,0.9303999999999999,0.9371999999999998,0.9373999999999998
8ysh,20,notsample1_seed0-9,0.9395999999999998,0.9309999999999999,0.9381999999999998,0.9373999999999998
8ysh,21,notsample1_seed0-9,0.9399999999999997,0.9296,0.9375999999999998,0.9389999999999997
8ysh,22,notsample1_seed0-9,0.9397999999999997,0.9298000000000001,0.9381999999999998,0.9371999999999998
8ysh,23,notsample1_seed0-9,0.9399999999999997,0.9309999999999999,0.9391999999999997,0.9389999999999997
8ysh,24,notsample1_seed0-9,0.9397999999999997,0.9313999999999999,0.9375999999999998,0.9381999999999997
8ysh,25,notsample1_seed0-9,0.9399999999999997,0.9292,0.9371999999999998,0.9379999999999998
8ysh,26,notsample1_seed0-9,0.9399999999999997,0.9289999999999999,0.9385999999999999,0.9375999999999998
8ysh,27,notsample1_seed0-9,0.9399999999999997,0.9306,0.9389999999999997,0.9381999999999997
8ysh,28,notsample1_seed0-9,0.9399999999999997,0.93,0.9373999999999998,0.9377999999999997
8ysh,29,notsample1_seed0-9,0.9399999999999997,0.9312,0.9395999999999998,0.9377999999999997
8ysh,30,notsample1_seed0-9,0.9397999999999997,0.9301999999999999,0.9383999999999998,0.9387999999999999
8ysh,31,notsample1_seed0-9,0.9397999999999997,0.9323999999999999,0.9389999999999997,0.9379999999999997
8ysh,32,notsample1_seed0-9,0.9397999999999997,0.9306,0.9389999999999997,0.9379999999999998
