pdbid,sample_size,preset,avg_abag_dockq,avg_ranking_confidence,avg_min_pmidockq,avg_TM_normalized_reference
8wcg,1,all,0.8622,0.8622,0.8622,0.8622
8wcg,2,all,0.8736,0.8579999999999999,0.8552,0.8710000000000001
8wcg,3,all,0.8812000000000001,0.8637999999999999,0.8561999999999999,0.8772
8wcg,4,all,0.8806,0.866,0.8532,0.8753999999999997
8wcg,5,all,0.8824000000000001,0.8589999999999999,0.8464,0.8768
8wcg,6,all,0.8854000000000001,0.8582,0.8422,0.8798
8wcg,7,all,0.887,0.8548,0.8434,0.8814
8wcg,8,all,0.8884000000000001,0.8572,0.8393999999999999,0.8855999999999998
8wcg,9,all,0.889,0.8567999999999999,0.8394000000000001,0.8842
8wcg,10,all,0.8874,0.8572000000000002,0.8377999999999999,0.8808
8wcg,11,all,0.8891999999999999,0.8637999999999999,0.8311999999999999,0.8846
8wcg,12,all,0.8906000000000001,0.8625999999999999,0.8402,0.8841999999999999
8wcg,13,all,0.8904,0.8608,0.8294000000000001,0.8858
8wcg,14,all,0.8917999999999999,0.8632,0.8371999999999998,0.887
8wcg,15,all,0.892,0.8592000000000002,0.835,0.8856
8wcg,16,all,0.892,0.8582000000000001,0.831,0.8868
8wcg,17,all,0.8952000000000001,0.8540000000000001,0.8371999999999999,0.8886
8wcg,18,all,0.8936000000000002,0.8596,0.8317999999999999,0.8866
8wcg,19,all,0.8945999999999998,0.8570000000000002,0.8257999999999999,0.8892
8wcg,20,all,0.8947999999999999,0.8612000000000001,0.8248000000000001,0.8910000000000001
8wcg,21,all,0.8946,0.8565999999999999,0.8278000000000002,0.8876000000000001
8wcg,22,all,0.8928,0.8545999999999999,0.8258,0.8876
8wcg,23,all,0.8951999999999998,0.8562000000000001,0.8243999999999998,0.8885999999999998
8wcg,24,all,0.8946,0.8560000000000001,0.8246000000000001,0.8884000000000001
8wcg,25,all,0.8947999999999999,0.861,0.8272000000000002,0.8864
8wcg,26,all,0.8961999999999999,0.8603999999999999,0.8214,0.89
8wcg,27,all,0.8986,0.86,0.831,0.8934000000000001
8wcg,28,all,0.8956000000000001,0.8560000000000001,0.8253999999999999,0.889
8wcg,29,all,0.8959999999999999,0.8602,0.8292,0.8896
8wcg,30,all,0.898,0.8550000000000001,0.8262,0.8926000000000001
8wcg,31,all,0.8962,0.8548,0.8186000000000001,0.8898
8wcg,32,all,0.8969999999999999,0.8574,0.8286,0.8908
8wcg,33,all,0.8978,0.8534,0.8281999999999999,0.8908
8wcg,34,all,0.8978000000000002,0.8582,0.8228,0.8894
8wcg,35,all,0.8989999999999999,0.8584,0.8220000000000002,0.8927999999999998
8wcg,36,all,0.8976,0.8622,0.8214,0.8922000000000001
8wcg,37,all,0.8977999999999998,0.8576,0.8228000000000002,0.8921999999999999
8wcg,38,all,0.8974,0.857,0.8202000000000002,0.8904000000000001
8wcg,39,all,0.8989999999999999,0.8574,0.8194000000000001,0.8922
8wcg,40,all,0.8992,0.8584,0.8190000000000001,0.8917999999999999
8ysh,1,all,0.9308,0.9308,0.9308,0.9308
8ysh,2,all,0.9346,0.9292,0.9329999999999999,0.9311999999999999
8ysh,3,all,0.9361999999999999,0.9296,0.9349999999999998,0.9318000000000001
8ysh,4,all,0.9353999999999999,0.9312,0.9339999999999999,0.9319999999999999
8ysh,5,all,0.9383999999999998,0.9306,0.9357999999999999,0.9319999999999999
8ysh,6,all,0.9389999999999997,0.9306,0.9361999999999999,0.9329999999999998
8ysh,7,all,0.9379999999999998,0.9296,0.9351999999999999,0.9311999999999999
8ysh,8,all,0.9399999999999997,0.9301999999999999,0.9377999999999999,0.9323999999999999
8ysh,9,all,0.9401999999999999,0.9301999999999999,0.9364,0.9328
8ysh,10,all,0.9403999999999998,0.9309999999999999,0.9359999999999999,0.9345999999999998
8ysh,11,all,0.9413999999999999,0.9311999999999999,0.9375999999999999,0.9346
8ysh,12,all,0.941,0.9315999999999999,0.9371999999999998,0.9347999999999997
8ysh,13,all,0.9406,0.9325999999999999,0.9377999999999997,0.9333999999999999
8ysh,14,all,0.9403999999999998,0.9294,0.9358,0.9346
8ysh,15,all,0.9422,0.9334,0.9391999999999999,0.9344
8ysh,16,all,0.9412,0.9323999999999999,0.9373999999999999,0.9361999999999998
8ysh,17,all,0.9412,0.9312,0.9377999999999999,0.9361999999999999
8ysh,18,all,0.941,0.9312,0.939,0.9347999999999999
8ysh,19,all,0.9419999999999998,0.9333999999999999,0.9391999999999999,0.9373999999999998
8ysh,20,all,0.9413999999999999,0.9336,0.9387999999999999,0.9343999999999998
8ysh,21,all,0.9438,0.9316,0.9385999999999999,0.9365999999999999
8ysh,22,all,0.9415999999999998,0.9341999999999999,0.9397999999999997,0.9357999999999999
8ysh,23,all,0.9422,0.9329999999999999,0.9383999999999998,0.9359999999999998
